runid,num_q,num_ret,num_rel,num_rel_ret,map,gm_map,Rprec,bpref,recip_rank,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,P_5,P_10,P_15,P_20,P_30,P_100,P_200,P_500,P_1000,ndcg_cut_10,set_recall,
textEN_IBS_24,50,50000,26664,6964,0.0914,0.0502,0.1893,0.2397,0.6043,0.7025,0.3000,0.2096,0.1142,0.0598,0.0194,0.0000,0.0000,0.0000,0.0000,0.0000,0.4400,0.3840,0.3827,0.3700,0.3613,0.3020,0.2597,0.1949,0.1393,0.3401,0.2652,
textEN_IBS_25,50,50000,26664,7293,0.0959,0.0514,0.1940,0.2531,0.6045,0.7013,0.3082,0.2125,0.1296,0.0669,0.0226,0.0094,0.0000,0.0000,0.0000,0.0000,0.4440,0.3840,0.3827,0.3710,0.3600,0.3028,0.2610,0.1980,0.1459,0.3414,0.2814,
textEN_LMDirichlet_13,50,50000,26664,9590,0.1765,0.0863,0.2762,0.3095,0.7662,0.8152,0.4570,0.3806,0.2823,0.1969,0.1297,0.0584,0.0061,0.0061,0.0000,0.0000,0.5920,0.5540,0.5080,0.5010,0.5053,0.4436,0.3817,0.2756,0.1918,0.5062,0.3692,
textEN_LMDirichlet_14,50,50000,26664,9561,0.1592,0.1119,0.2725,0.3340,0.7137,0.8048,0.4465,0.3579,0.2487,0.1627,0.0742,0.0173,0.0070,0.0000,0.0000,0.0000,0.6160,0.5980,0.5933,0.5570,0.5313,0.4346,0.3692,0.2690,0.1912,0.5455,0.3785,
textEN_LMDirichlet_15,50,50000,26664,9438,0.1591,0.1084,0.2689,0.3269,0.6960,0.7827,0.4486,0.3458,0.2529,0.1563,0.0879,0.0148,0.0000,0.0000,0.0000,0.0000,0.5800,0.5580,0.5547,0.5420,0.5107,0.4380,0.3739,0.2614,0.1888,0.5084,0.3705,
textEN_LMDirichlet_16,50,50000,26664,7945,0.1074,0.0481,0.2111,0.2651,0.5687,0.6435,0.3267,0.2497,0.1743,0.0928,0.0315,0.0144,0.0000,0.0000,0.0000,0.0000,0.4000,0.4220,0.3867,0.3660,0.3493,0.2888,0.2534,0.2053,0.1589,0.3535,0.3061,
textEN_LMDirichlet_18,50,50000,26664,7870,0.1409,0.0692,0.2355,0.2550,0.7082,0.7838,0.4459,0.3088,0.2192,0.1107,0.0670,0.0109,0.0000,0.0000,0.0000,0.0000,0.5720,0.5660,0.5360,0.5250,0.5093,0.4230,0.3443,0.2423,0.1574,0.4939,0.2870,
textEN_LMDirichlet_19,50,50000,26664,9674,0.1783,0.0831,0.2774,0.3174,0.7081,0.7836,0.4544,0.3519,0.2870,0.2030,0.1490,0.0781,0.0171,0.0059,0.0000,0.0000,0.5720,0.5660,0.5373,0.5260,0.5113,0.4304,0.3678,0.2731,0.1935,0.4939,0.3730,
textEN_LMDirichlet_20,50,50000,26664,9051,0.1377,0.0948,0.2569,0.3170,0.6543,0.7519,0.4131,0.3242,0.2271,0.1253,0.0357,0.0118,0.0000,0.0000,0.0000,0.0000,0.5120,0.4800,0.4800,0.4820,0.4613,0.3906,0.3342,0.2498,0.1810,0.4428,0.3526,
textEN_LMDirichlet_21,50,50000,26664,9309,0.1441,0.0960,0.2619,0.3302,0.6539,0.7502,0.4082,0.3217,0.2381,0.1552,0.0573,0.0226,0.0123,0.0000,0.0000,0.0000,0.5120,0.4800,0.4800,0.4810,0.4613,0.3892,0.3356,0.2528,0.1862,0.4428,0.3704,
textEN_LMDirichlet_22,50,49556,26664,9046,0.1439,0.0952,0.2593,0.3150,0.6258,0.7337,0.4161,0.3419,0.2382,0.1385,0.0745,0.0153,0.0000,0.0000,0.0000,0.0000,0.5080,0.5020,0.4867,0.4790,0.4627,0.3914,0.3360,0.2524,0.1809,0.4623,0.3517,
textEN_LMDirichlet_23,50,50000,26664,9367,0.1520,0.0969,0.2640,0.3303,0.6258,0.7309,0.4153,0.3396,0.2485,0.1609,0.1029,0.0437,0.0095,0.0000,0.0000,0.0000,0.5080,0.5020,0.4907,0.4840,0.4633,0.3930,0.3370,0.2576,0.1873,0.4629,0.3748,
textEN_LMDirichlet_24,50,50000,26664,7278,0.0940,0.0439,0.1917,0.2418,0.5698,0.6593,0.3263,0.2255,0.1423,0.0693,0.0262,0.0000,0.0000,0.0000,0.0000,0.0000,0.3720,0.3920,0.3640,0.3420,0.3167,0.2678,0.2355,0.1880,0.1456,0.3283,0.2721,
